well,row,col,media,dilution,host,colony,phage
A1,A,1,DSM,Blank,WT,Blank,Blank
B1,B,1,DSM,Blank,WT,Blank,Blank
C1,C,1,DSM,noPHI,WT,COL1,noPHI
D1,D,1,DSM,noPHI,WT,COL2,noPHI
E1,E,1,DSM,noPHI,WT,COL3,noPHI
F1,F,1,DSM,noPHI,WT,COL4,noPHI
G1,G,1,DSM,Blank,WT,Blank,Blank
H1,H,1,DSM,Blank,WT,Blank,Blank
A2,A,2,DSM,1.00E-03,WT,COL1,SPO1
B2,B,2,DSM,1.00E-04,WT,COL1,SPO1
C2,C,2,DSM,1.00E-05,WT,COL1,SPO1
D2,D,2,DSM,1.00E-06,WT,COL1,SPO1
E2,E,2,DSM,1.00E-07,WT,COL1,SPO1
F2,F,2,DSM,1.00E-08,WT,COL1,SPO1
G2,G,2,DSM,1.00E-09,WT,COL1,SPO1
H2,H,2,DSM,1.00E-10,WT,COL1,SPO1
A3,A,3,DSM,1.00E-03,WT,COL2,SPO1
B3,B,3,DSM,1.00E-04,WT,COL2,SPO1
C3,C,3,DSM,1.00E-05,WT,COL2,SPO1
D3,D,3,DSM,1.00E-06,WT,COL2,SPO1
E3,E,3,DSM,1.00E-07,WT,COL2,SPO1
F3,F,3,DSM,1.00E-08,WT,COL2,SPO1
G3,G,3,DSM,1.00E-09,WT,COL2,SPO1
H3,H,3,DSM,1.00E-10,WT,COL2,SPO1
A4,A,4,DSM,1.00E-03,WT,COL3,SPO1
B4,B,4,DSM,1.00E-04,WT,COL3,SPO1
C4,C,4,DSM,1.00E-05,WT,COL3,SPO1
D4,D,4,DSM,1.00E-06,WT,COL3,SPO1
E4,E,4,DSM,1.00E-07,WT,COL3,SPO1
F4,F,4,DSM,1.00E-08,WT,COL3,SPO1
G4,G,4,DSM,1.00E-09,WT,COL3,SPO1
H4,H,4,DSM,1.00E-10,WT,COL3,SPO1
A5,A,5,DSM,1.00E-03,WT,COL4,SPO1
B5,B,5,DSM,1.00E-04,WT,COL4,SPO1
C5,C,5,DSM,1.00E-05,WT,COL4,SPO1
D5,D,5,DSM,1.00E-06,WT,COL4,SPO1
E5,E,5,DSM,1.00E-07,WT,COL4,SPO1
F5,F,5,DSM,1.00E-08,WT,COL4,SPO1
G5,G,5,DSM,1.00E-09,WT,COL4,SPO1
H5,H,5,DSM,1.00E-10,WT,COL4,SPO1
A6,A,6,DSM,noPHI,WT,COL1,noPHI
B6,B,6,DSM,noPHI,WT,COL2,noPHI
C6,C,6,DSM,noPHI,WT,COL3,noPHI
D6,D,6,DSM,noPHI,WT,COL4,noPHI
E6,E,6,DSM,noPHI,WT,COL1,noPHI
F6,F,6,DSM,noPHI,WT,COL2,noPHI
G6,G,6,DSM,noPHI,WT,COL3,noPHI
H6,H,6,DSM,noPHI,WT,COL4,noPHI
A7,A,7,DSM,noPHI,spoIIE,COL1,noPHI
B7,B,7,DSM,noPHI,spoIIE,COL2,noPHI
C7,C,7,DSM,noPHI,spoIIE,COL3,noPHI
D7,D,7,DSM,noPHI,spoIIE,COL4,noPHI
E7,E,7,DSM,noPHI,spoIIE,COL1,noPHI
F7,F,7,DSM,noPHI,spoIIE,COL2,noPHI
